#complex,groundtruth,z3flag
#3-terms generated expression.
-9*~(x&~x)+9*(x&~y)+18*(x&y),9*x-9*~(x&y),True
1*y-1*~(x&~x)-5*~(x|y),-6*~y+5*(x&~y),True
3*(x^y)-3*y-9*(x&~y),-6*x+3*(x&y),True
6*~y+3*~(x^y)-6*x,-3*(x&y)+9*~(x|y),True
-1*~(x&~y)-3*(x^y)+4*~(x|~y),-1*(x|~y)-2*(x&~y),True
3*y+6*(x|~y)-6*~(x&~x),-3*~(x|~y)+3*(x&y),True
#4-terms generated expression.
1*(x^y)-1*y+1*~(x|y)+2*(x&y),1*(x&~y)+1*~(x^y),True
6*~(x&~y)-3*~(x&~x)-3*(x|y)+6*(x&~y),3*~(x|y),True
-2*~(x&y)-1*(x|~y)+3*~(x|y)+2*(x&~y),-1*(x|y)-1*~(x|~y),True
1*y+7*(x^y)+7*~(x|y)+6*(x&y),7*~(x&~x)+1*~(x|~y),True
4*~(x&y)-1*~x-4*~(x|y)-5*(x&~y),3*~(x|~y)-1*~y,True
-1*~(x&~y)+9*~(x^y)+1*~(x|~y)-8*(x&y),-8*(x&~y)+8*~y,True
-1*(x|~y)+1*(x^y)-8*y+7*~(x|~y),-9*(x&y)-1*~(x|y),True
-1*~x-3*~(x&y)+4*~(x|~y)+2*(x&~y),-1*~y-3*~(x|y),True
-1*~(x^y)-1*(x|~y)-2*~(x|~y)-1*(x&~y),-2*~(x&~x),True
-9*x+5*~(x|~y)+8*(x&~y)+14*(x&y),6*y-1*(x|y),True
6*~x+2*~(x&~y)-2*~(x&~x)+2*(x&~y),6*~(x|y)+6*~(x|~y),True
1*(x|y)-3*~x+3*~(x|~y)-1*(x&~y),-4*~(x|y)+1*~(x&~y),True
-1*y+8*x+1*~(x&~y)-8*(x&~y),1*~(x|y)+8*(x&y),True
-3*(x^y)-1*(x|y)+4*~(x&~x)-3*(x&y),4*~(x|y),True
-3*x-7*~(x^y)-7*~(x|~y)+3*(x&y),-7*~(x&~x)+4*(x&~y),True
-2*(x|~y)-7*~x+9*~(x|y)+7*~(x|~y),-2*x,True
1*x+3*~y-12*~(x|y)-4*(x&~y),10*(x&y)-9*~(x^y),True
1*~x-1*~(x&~x)-8*~(x|y)+1*(x&y),-8*~y+7*(x&~y),True
1*(x^y)+3*~x-2*~(x&y)-2*~(x|~y),1*~(x|y)-1*(x&~y),True
-6*~(x^y)+1*~y-1*~(x&~x)+7*(x&y),-1*~(x|~y)-6*~(x|y),True
-2*~(x&~x)-2*~x+4*~(x|y)+4*~(x|~y),-2*x,True
-7*(x^y)+8*(x|y)-1*~(x|~y)+4*(x&~y),3*(x&y)+5*x,True
6*~(x&~x)-9*(x^y)+9*~(x|~y)+3*(x&~y),6*~(x&~y),True
-1*~(x&~y)+1*~x+6*~(x|~y)+7*(x&y),6*y,True
-1*y-3*(x^y)+4*~(x|~y)+2*(x&~y),-1*x,True
8*(x^y)-1*~x-8*~(x|~y)-1*(x&y),9*(x&~y)-1*~(x&~x),True
-9*(x|~y)+17*~(x|y)+14*(x&~y)+6*(x&y),8*~y-3*x,True
1*(x^y)-4*~(x^y)+5*~(x|y)+4*(x&y),1*~(x&y),True
5*~(x&~x)-4*(x|y)-2*~(x|y)-1*(x&~y),-2*y+3*~(x&~y),True
#5-terms generated expression.
-1*(x|y)-8*y-9*(x^y)+18*~(x|~y)+10*(x&~y),-9*(x&y),True
-2*~(x&~y)-8*~(x&~x)+11*~(x|y)+10*~(x|~y)+9*(x&~y),-11*(x&y)+1*(x|~y),True
