#complex,groundtruth,z3flag
#6-terms generated expression.
4*~(x|(y^z))-1*(y^(~x|(y&z)))-7*~x+4*~(x|(y|z))+8*(~x&(~y&z))+3*(~x&(y&z)),-7*~(x|(~y|z))-1*~(~x|(~y|z)),True
#7-terms generated expression.
-1*(z^~(~x&(y|z)))+3*(x|(y&z))+1*(z^(x&~y))+1*~(x|(y|z))-2*~(~x|(~y|z))-3*(~x&(y&z))-3*(x&(~y&z)),3*~(~x|(y|z))+4*(x&(y&z)),True
2*(~(x&~y)&~(x^(y^z)))+1*(~x&(~y|z))-3*((x&y)^(x^(y&z)))-3*~(x|(y|z))+3*~(~x|(y|z))-2*~(~x|(~y|z))-1*(~x&(~y&z)),-3*(x&(y&z))-3*(x&(~y&z)),True
#8-terms generated expression.
5*(z^(x&~y))+2*(z^~(x&(y&z)))+3*~(x&(y|z))-5*~(x|(y|z))-10*~(~x|(y|z))-2*~(~x|(~y|z))-8*(~x&(y&z))-7*(x&(y&z)),5*~(x|(~y|z))+8*(~x&(~y&z)),True
9*(~x&(~y|z))-5*(x&z)-9*~(x|(y|z))+5*~(~x|(~y|z))-9*(~x&(~y&z))-9*(~x&(y&z))+10*(x&(~y&z))+5*(x&(y&z)),5*(x&(y^z)),True
9*~(~x|(~y&z))-1*(y^(x|(y&z)))+1*~(x|(~y|z))-8*~(~x|(y|z))-9*~(~x|(~y|z))-8*(~x&(y&z))-7*(x&(~y&z))-9*(x&(y&z)),8*~(x|(y|z))-8*(~(x&y)&~(x^(y^z))),True
6*~(y|z)-9*~(x^(~y&z))+9*~(x|(y|z))+15*~(x|(~y|z))-6*~(~x|(y|z))+6*(~x&(~y&z))+9*(~x&(y&z))+9*(x&(~y&z)),-6*(x&(y&z))+6*~(x^(y&z)),True
-9*~(~x&(y|z))+3*(y^~(x&(~y|z)))+7*~(x|(y|z))+1*~(x|(~y|z))+10*~(~x|(y|z))-3*(~x&(~y&z))+10*(x&(~y&z))+6*(x&(y&z)),-10*~(~x|(~y|z))+1*(z^~(x&(~y&z))),True
-4*(y^(x|~z))-2*((x&y)|~(x^(y^z)))+1*(z^~(x&~y))+5*~(x|(y|z))-1*~(x|(~y|z))+4*~(~x|(y|z))+5*(x&(~y&z))+2*(x&(y&z)),-1*~(~x|(~y|z))-6*(~x&(y&z)),True
-1*((x&~y)|(y^z))+5*(z^~(x&(~y&z)))-6*~(x|(y|z))-5*~(x|(~y|z))-5*~(~x|(y|z))-4*~(~x|(~y|z))-5*(x&(~y&z))-1*(x&(y&z)),1*(~x&(y&z))-1*(~x|(~y|z)),True
2*~(x|~z)-2*(z^~(x&y))+8*~(x|(y|z))+8*~(x|(~y|z))+6*~(~x|(~y|z))+4*(~x&(~y&z))+4*(~x&(y&z))+8*(x&(y&z)),-8*~(~x|(y|z))+6*~(x&(~y&z)),True
#9-terms generated expression.
